abc,123,AIML,6,excellent,good,fine,very good,suportive and good
deepika,12345,AIML,6,fine,good and pleasent,fine but need changes,fine,good
abc,123,AIML,6,good,good,bad,very bad,nice
deepika,12345,CSE,2,good,bad,fine,very good,bad
xyz,111,Mechanical,1,good,fine,bad,very bad,vry good
xyz,111,Mechanical,1,good,fine,bad,very bad,vry good
keerthi,18748,Mechanical,1,good,fine,bad,very bad,vry good
keerthi,18748,Mechanical,1,bad,bad,bad,very bad,vry bad
ramya,2384,EEE,7,fine,fine,fine,fine,fine
user,1111,AIML,6,very good academic environment,its not so good,need some development,veru good food,supportive administration
user,1111,AIML,6,very good academic environment,its not so good,need some development,veru good food,supportive administration
harshitha,02,AIML,6,very good,very bad,bad,average,fine
abc,12345,CSE,5,fine,good,bad,worst,very bad
